topic,aliases,topic_desc,knowledge_class,topic_desc_basic,knowledge_class_basic,tags,category
radscorpion,,"Radscorpions are large, mutated arthropods descended from the North American Emperor scorpion. Following the Great War, exposure to radiation and the Forced Evolutionary Virus caused dramatic growth in the species, producing specimens far larger than their pre-War ancestors. These creatures are encountered throughout the wasteland and are widely feared for their aggressive temperament and potent venom. The venom has proven medically significant: antidotes have been successfully derived from it, providing wastelanders and medical practitioners with a means to treat radscorpion stings. The combination of radiation and FEV exposure responsible for the radscorpion's enlarged size is consistent with mutations observed in other post-War species. Radscorpions represent one of the more dangerous common threats faced by travelers in both the Capital Wasteland and the Mojave Wasteland, where their armoured exoskeletons and venomous tails make them formidable opponents even for experienced wastelanders.","scientist,researcher,doctor,medic","Radscorpions are large mutated scorpions found throughout the wasteland. They are aggressive, heavily armored, and possess a venomous sting that can be lethal without treatment. Wasteland doctors and traders have developed antidotes derived from the venom. They are considered one of the more common and dangerous threats faced by travelers.",common,"fev exposure,mutated emperor scorpion,post-war arthropod,radiation mutation,radscorpion antidote,venomous wasteland creature",creature
robobrain,,"Robobrains represent General Atomics International's first successful union of organic matter and robotics, developed under Doctor Bert Riggs before the Great War. Research and production spanned facilities operated by General Atomics, RobCo Industries, and the US Army Robotics Division, including Sierra Army Depot, RB-2851, and the RobCo Sales & Service Center. Early models used chimpanzee brains, with each successive model providing superior upgrades: increased energy efficiency, improved brain longevity, enhanced visual cortex connections for better motor skills and perception, and tactical combat capabilities. General Atomics ultimately sought human brains to augment the robot's functions, accelerate decision-making, and ensure unquestioning obedience. Candidates for brain extraction were drawn from military and civilian prisons, focusing on adults of high intelligence and sufficient constitution to survive the removal process. Candidates with low intelligence, mental disorders, or poor brain health were terminated. Robobrains with an IQ below 80 were classified as defective and disposed of at the Robotics Disposal Ground. Successful candidates had their brains removed, analysed, reconditioned, and placed in Biomed Gel before attachment to the robotic chassis. The removal process prevented personality retention. Additional research into brain extraction and isolation was conducted at the St. Aubin Medical Facility in Point Lookout, though the robobrain never reached full production there. In the Mojave Wasteland, robobrains have been observed serving the NCR near Hoover Dam at Ranger Station Delta, while hostile units have been encountered at HELIOS One, Vault 11, the H&H Tools Factory, and Big MT.","researcher,scientist,engineer,brotherhood_of_steel","Robobrains are pre-War robots that use an organic brain housed in a transparent dome as their central processor. They were developed before the Great War by General Atomics International. In the Mojave Wasteland, functioning robobrains have been encountered at several locations, sometimes serving the NCR near Hoover Dam and sometimes operating independently or hostile.","capital_wasteland,mojave","bert riggs robotics,biomed gel chassis,brain extraction program,general atomics robobrain,organic brain robot,robotics disposal ground",creature
sentry_bot,,"The sentry bot was engineered as a pre-war autonomous security platform designed to project overwhelming force in defense of installations and personnel. Its armament configuration pairs a minigun or Gatling laser on the right arm with a missile launcher on the left, allowing it to engage multiple threat types simultaneously. A critical design feature is the cooldown phase following sustained fire, during which the robot's fusion core is exposed and vulnerable to attack. The combat inhibitor mounted on the unit's back regulates targeting and behavior; if destroyed, the robot enters a frenzied state, attacking indiscriminately. Uniquely, sentry bots are equipped with judicial circuits that grant them limited law-enforcement authority. When they witness murder or theft, these circuits activate and the robot issues an immediate death sentence, pursuing the identified criminal with lethal intent. In the Mojave Wasteland, sentry bots appear in locations such as Vault 11 and the Securitron Vault. The Big MT research facility houses Mk series variants, while dedicated Army models patrol the Divide. Named units include Koch, an antique sentry bot, and RY-589 Ultimo Bot. Upon destruction, sentry bots detonate violently.","engineer,scientist,researcher,soldier","Sentry bots are large, heavily armed pre-War combat robots occasionally encountered in the Mojave Wasteland. They carry miniguns or Gatling lasers alongside missile launchers, making them extremely dangerous. They explode violently when destroyed. Most wastelanders consider them a threat best avoided rather than engaged.",mojave,"big mt robots,combat inhibitor,divide army models,fusion core vulnerability,heavy combat robot,judicial circuits,mojave wasteland robots",creature
super_mutant,Mutants,"Super Mutants originate from Forced Evolutionary Virus research that began at West Tek, with FEV samples transferred to Mariposa Military Base on January 7, 2077, under the direction of Leon Von Felden and Robert Anderson. The virus produced approximately a 60% increase in size and a potential 200% intelligence increase in successful subjects, though outcomes varied dramatically by strain. In the Capital Wasteland, the Evolutionary Experimentation Program at Vault 87 produced a distinct strain beginning in 2078. These mutants grow larger and stronger with age, but suffered reduced intelligence and sterility. Their inability to reproduce drove an obsessive campaign to capture humans for conversion using FEV, or ""green stuff,"" at Vault 87. By 2277, dwindling FEV reserves left them increasingly desperate. In the Mojave, Marcus led a group of first-generation mutants to found Black Mountain, using the site's radiation as a natural deterrent. A rift with the Nightkin officer Tabitha, whose mental state deteriorated after her robot companion Rhonda broke down, eventually forced Marcus to leave and establish Jacobstown. Jacobstown became a refuge for first-generation Super Mutants and Nightkin, with Doctor Henry researching cures for Nightkin mental illnesses caused by prolonged Stealth Boy use. Meanwhile, Black Mountain became the hostile State of Utobitha under Tabitha's command, where Nightkin and second-generation mutants harassed travelers along I-15.","scientist,researcher,brotherhood_of_steel","Super Mutants are massive humanoid creatures created by exposing humans to the Forced Evolutionary Virus. They possess great strength and resilience but vary widely in intelligence depending on the strain. Many are hostile, raiding settlements to capture humans for conversion, though some communities coexist peacefully with people.","capital_wasteland,mojave,soldier,traveler","black mountain utobitha,capital wasteland mutants,forced evolutionary virus,jacobstown settlement,mariposa military base,nightkin mental illness,vault 87 strain",creature
abomination,,"Abominations represent the alien inhabitants' most disturbing experimentation conducted aboard Mothership Zeta. Through processes documented in recorded logs, the aliens systematically transform captured humans into hybrid creatures, though the conversion proves fatal for many subjects. The survivors emerge as gaunt, hostile beings with semi-transparent skin that reveals underlying physiology, and disproportionately long arms suited for close-quarters violence. Unlike the alien crew, abominations employ no ranged weaponry. Their behavioral pattern is distinctive: upon detecting an intruder, an abomination will point at the target and emit a loud wail before charging at speed, swiping with its elongated limbs. This warning behavior provides a brief window before the attack commences. Abominations are encountered both confined within cells and roaming the corridors of Mothership Zeta, suggesting they may be released or escape containment. The Biological Research section of the vessel serves as their primary habitat, consistent with their status as experimental subjects. Notably, abominations demonstrate considerable physical resilience, resisting knockdown effects from weapons that reliably topple other targets. When destroyed, their bodies yield assorted items including alien power modules, alien epoxy, pre-war money, cigarettes, harmonicas, and pre-war books, suggesting their human origins retained personal effects through the transformation.","researcher,scientist",,blocked,"alien human experimentation,biological research section,cryo ship experiments,hostile alien creatures,mothership zeta hybrids,semi-transparent skin",creature
alien,,"The extraterrestrial beings encountered aboard Mothership Zeta represent a technologically advanced civilization capable of interstellar travel, long-term cryostasis, teleportation, and holographic projection. The most commonly observed specimens wear distinctive white spacesuits and behave with uniform hostility toward all intruders aboard their vessel. Their armament includes disintegrators and atomizers for ranged engagement, as well as shock batons for close-quarters combat. Some aliens project an Inertia Suppression Field, a personal energy barrier that enhances their survivability in combat, with the field's effectiveness scaling according to the individual alien's tier. In battle, aliens equipped with melee weapons tend to rush opponents, while others maintain distance and employ their ranged arsenal. The aliens also deploy Guardian Drones as support units. Beyond the crew, the ship contains alien workers who lack combat capability and cower when confronted, though their presence can disrupt shipboard systems and scripted events. Evidence of extraterrestrial visitation to Earth exists independently of Mothership Zeta: a dead alien bearing an Alien Blaster was discovered far north of the Scrapyard in the Capital Wasteland, suggesting at least one prior incursion or crash on the planet's surface. The aliens' interest in humanity is further evidenced by their cryostasis chambers, which hold preserved human captives from various historical periods, and their biological research programs that transform human subjects into abominations.",mothership_zeta,,blocked,"alien weaponry,capital wasteland crash site,cryostasis technology,extraterrestrial civilization,inertia suppression field,mothership zeta aliens",creature
bloatfly,,"The bloatfly represents one of the more peculiar results of post-War insect mutation in the Capital Wasteland. Enclave researchers operating at an outpost near Megaton included the bloatfly among the regional creatures they studied, tentatively placing it within the Tabanidae family of biting flies. The species adapted to its enlarged scale through a unique gland that permits balance and sustained speed despite its increased mass, though this same gland is believed to be toxic if ingested. Bloatflies attack by ejecting their own maggots as live projectiles, a deeply unusual reproductive-aggressive behavior, and their carapaces offer minimal protection against weapons. Their wings produce a faint clicking sound reminiscent of giant ant movement, while their death is marked by a high-pitched chattering noise. They congregate wherever carrion is plentiful, including the entrance chamber of Vault 92 and the hillsides near Reclining Groves Resort Homes, where dead Wastelanders provide a ready food source.","scientist,researcher",Bloatflies are large mutated flies found throughout the Capital Wasteland. They are weak but annoying pests that spit maggots at anyone who gets too close. They tend to gather around carrion and dead bodies. Most wastelanders regard them as a minor nuisance rather than a serious threat.,capital_wasteland,"capital wasteland creature,enclave classification,mutated insect,projectile maggots,tabanidae family,vault ninety-two",creature
experimental_weapons_drone,,"Aboard the alien spacecraft Mothership Zeta, drones serve as multipurpose robotic units deployed by the alien crew for combat, personal assistance, and weapons testing. The Experimental Weapons Drones represent a specialized variant encountered within the vessel's Weapons Lab, where alien experimenters use them to fire upon brahmin that emerge from a Teleportation Matrix, apparently studying weapon effects on living subjects. All drones on the ship, including these experimental models, are produced at the Robot Assembly facility. Each Experimental Weapons Drone is armed with a Drone Cannon or its enhanced variant, the Drone Cannon Ex-B, firing arced explosive projectiles. Drones found deactivated inside Alien Robot Pods throughout the vessel can be reactivated using a Drone Control Device, which temporarily recruits them as followers. Their hover-platform locomotion can be disrupted by targeting the platform itself, though curiously, standard EMP weapons such as pulse grenades and pulse mines have no effect on these alien constructs.",mothership_zeta,,blocked,"alien robot,alien vessel,drone cannon,mothership zeta drone,robot assembly,weapons testing",creature
fire_ant,,"The fire ants of the Capital Wasteland are an unintended product of scientific experimentation conducted by Doctor Lesko, who sought to reverse the gigantism afflicting wasteland ant populations through genetic manipulation. A small error in his genetic work produced an entirely different mutation rather than the intended size reduction, yielding a species capable of producing and projecting fire. Lesko termed the mechanism pyrosis: the ants expel flammable venom from modified venom sacs and ignite it by clicking their mandibles together to create a spark. In behavior, fire ants retain the swarming tactics of ordinary giant ants, overwhelming targets through numbers. They exhibit a high resistance to fire, consistent with their own incendiary biology. Damaging their antennae can trigger a frenzied state, causing disorientation and erratic aggression. The creatures are not uniformly hostile and may ignore passersby unless provoked. Their emergence in the Capital Wasteland is tied directly to Lesko's experiments and the disruption they caused to local ant colonies.","scientist,researcher,doctor,grayditch","Fire ants are mutated insects found in the Capital Wasteland, notable for their ability to breathe fire. They swarm like ordinary giant ants but can project flames at their targets. Rumor connects their creation to a scientist working near Grayditch who was experimenting on local ant colonies, though details are unclear. They are highly resistant to fire themselves.",capital_wasteland,"capital wasteland creature,doctor lesko experiment,flammable venom,giant ant mutation,mutated insect,pyrosis mechanism",creature
guardian_drone,,"Guardian Drones are the principal robotic defense and utility units deployed throughout the alien vessel Mothership Zeta. Manufactured in the ship's Robot Assembly, they serve the alien crew in combat, personal assistance, and weapons-testing roles. Each drone travels on a hovering platform and carries a Drone Cannon that fires an arcing explosive projectile capable of rolling across surfaces before detonating. In the Weapons Lab, drones fire on brahmin emerging from a Teleportation Matrix, suggesting that the aliens study weapon effects on terrestrial organisms. Dormant Guardian Drones are stored inside Alien Robot Pods around the vessel, and a Drone Control Device can reactivate compatible units. Their construction differs substantially from terrestrial robotics: even pulse grenades and pulse mines, normally effective against machines, have little discernible effect on these alien constructs.",mothership_zeta,,blocked,"alien robot,alien robot pods,drone cannon weapon,mothership zeta drone,robot assembly,weapons lab experimentation",creature
mirelurk,,"Mirelurks are a dominant aquatic predator species of the Capital Wasteland, occupying a niche shaped by the region's pervasive water contamination. Their heavy natural armor renders most conventional attacks ineffective, with the unarmored face serving as the primary vulnerability. The species appears physiologically dependent on irradiated water: when Project Purity begins distributing purified water following the Battle of Project Purity in 2277, mirelurks in the vicinity of the Jefferson Memorial begin dying off. Brotherhood of Steel personnel stationed at the memorial observe this die-off firsthand, with one initiate burning dead specimens and a patrolling knight noting that soldiers are encouraged to shoot the dying creatures. This dependency suggests a mutated biology adapted to—or reliant upon—contaminated environments, raising questions about the species' long-term viability should the Capital Wasteland's water supply be broadly purified. Culturally, mirelurk meat holds significant value among wastelanders. Grandma Sparkle considers it ""the best meat you can get out here,"" with the softshell variety being especially prized. A mirelurk cakes recipe exists at the Anchorage War Memorial, indicating some pre-war or early post-war culinary tradition surrounding the species. Mirelurks cannot attack while swimming, and white noise—such as that found in Vault 92—proves instantly lethal to them, suggesting sensory fragility beneath their armored exterior.","scientist,researcher,brotherhood_of_steel","Mirelurks are large, heavily armored mutated creatures that live in and around the contaminated waters of the Capital Wasteland. Their shells make them tough to kill, though their unarmored faces are a known weak point. Mirelurk meat is prized by wastelanders as one of the best food sources available, especially the softshell variety.",capital_wasteland,"aquatic predator species,armored mutation biology,capital wasteland ecology,jefferson memorial observation,project purity die-off,softshell meat value,vault ninety-two vulnerability,water contamination dependency",creature
mirelurk_king,,"Mirelurk kings are an apex form of mirelurk found in the Capital Wasteland. Unlike the heavily shelled crustacean forms, they have a more humanoid silhouette and attack at a distance with a powerful sonic burst generated through the head. Injuring that organ prevents the creature from producing the attack, but approaching one remains dangerous because its claws and strength make it formidable at close range. Its torso is protected by dense natural tissue that turns aside part of the force of incoming attacks. A related regional form called the swamplurk queen inhabits Point Lookout. Swamplurk queens spit corrosive material instead of producing a sonic burst and are notably resilient. The differences between the Capital Wasteland and Point Lookout populations suggest that isolated mirelurk groups have adapted to their local environments while retaining a shared vulnerability in the head.","hunter,scientist,researcher,survivalist","Mirelurk Kings are a dangerous variant of mirelurk found in the Capital Wasteland's waterways. Unlike the shelled mirelurks most wastelanders recognize, kings have a more humanoid shape and can unleash a crippling sonic attack from a distance. They are formidable up close as well, making them feared by anyone hunting near water.",capital_wasteland,"aquatic predator hierarchy,head crippling vulnerability,melee damage superiority,point lookout swamplands,regional adaptive divergence,sonic attack capability,swamplurk queen variant,torso armor resistance",creature
swampfolk,,"Swampfolk are a population of mutated humans endemic to the Point Lookout swamplands, exhibiting severe physical deformities and a deeply territorial social structure that isolates them from outsiders. They mark their territory with hanging dolls and ritualistic fetishes, suggesting a developed if insular cultural practice rooted in superstition or folk tradition. Swampfolk operate in coordinated groups of two to five, typically combining melee chargers with firearm-wielding support, and display tactical behavior such as seeking replacement weapons when their current ones are destroyed. Their combat effectiveness is notably enhanced beyond what their crude weaponry would suggest, inflicting additional damage attributable to object-level modifications in the regional data—a phenomenon that may reflect environmental adaptation or the cumulative effects of Point Lookout's unique mutational pressures. Despite their fearsome reputation, Swampfolk society is not entirely closed. Marguerite lives among them in the bog without severe deformities and is recognized as a local. Haley, likewise lacking Swampfolk features, engages in trade with them and notes their strong odor. Kenny, born to Swampfolk parents without deformities, became an outcast—indicating that physical conformity to the group's mutated phenotype functions as a basis for social inclusion. Swampfolk occasionally gather and dance at Beachview Campsite, a behavior observed nowhere else on Point Lookout, hinting at communal rituals or gatherings tied to that specific location.","historian,hunter,researcher,survivalist","Swampfolk are mutated, deformed humans who inhabit the Point Lookout swamplands and are fiercely territorial toward outsiders. They mark their territory with hanging dolls and crude fetishes. Travelers to Point Lookout are warned to avoid areas where these markers appear, as swampfolk attack in groups and are difficult to kill. A few non-deformed locals reportedly live among or trade with them.",point_lookout,"beachview campsite ritual,coordinated group tactics,haley trade contact,kenny outcast deformity,marguerite bog coexistence,phenotype social inclusion,point lookout swamplands,territorial fetish markers",creature
trog,,"Trogs represent one of the most disturbing consequences of concentrated environmental catastrophe in the post-war world. Troglodyte Degeneration Contagion (TDC) is not infectious in the traditional sense—it cannot be contracted through contact with the infected. Instead, it arises from the synergistic effect of intensively concentrated ambient radiation combined with the unique industrial toxins and pollutants saturating the Pitt, suggesting a region-specific biochemical mechanism unlike standard radiation mutation. The transformation rate among the general populace is approximately twenty percent, but children born in the Pitt face a one hundred percent degeneration rate, becoming feral within weeks of birth. This generational certainty implies that the Pitt's contamination has reached a threshold where prenatal exposure guarantees onset. Transformed individuals lose all recognition of former relationships, attacking friends and loved ones indiscriminately. Yet fragments of cognition persist: injured trogs cry out words like ""Why?"" and ""Pain!,"" and some murmur ""...peace..."" or ""Thank you..."" as they die, hinting that remnants of human awareness remain trapped beneath the feral exterior. The trog phenomenon is geographically isolated to the Pitt, and residents of the Capital Wasteland are unfamiliar with the condition.","doctor,medic,researcher,scientist","Trogs are mutated humans found in the Pitt, transformed by a condition caused by the region's concentrated radiation combined with unique industrial toxins. Roughly twenty percent of the local populace has undergone the transformation, becoming feral creatures that attack anything on sight. Children born in the Pitt face a one hundred percent degeneration rate.",the_pitt,"environmental mutation mechanism,feral transformation rate,pitt industrial toxins,pitt isolated contagion,prenatal degeneration certainty,regional radiation mutation,residual human cognition,troglodyte degeneration contagion",creature
